"nom","annee","groupe","temp_RF_moy","pr_RF_total","neige_pct","gels_RF_total","SMOD_dayofyear","nb_jours_neige_printemps","nb_jours_neige_avril","nb_jours_neige_mai","NDSI_moy_printemps","NDSI_max_printemps","premier_jour_sans_neige","nb_episodes_printemps","pct_donnees_valides","soil_temp_upper_moy","soil_moisture_moy","swe_max","snow_depth_max","etp_total","humidity_moy","solar_radiation_moy","wind_speed_moy","SOD_modis","SMOD_modis","SCD","duree_saison","continuite","NDSI_moy_modis","NDSI_max_modis","NDSI_med","jour_pic_NDSI","vitesse_fonte","nb_redoux","LFD_nival"
"CADI_POP1",2000,"Autres sites",4.88173027368262,738.069873113216,11.3636363636364,108.751864699768,109,3,3,0,58,75,122,2,10,11.9434426229508,0.253472677595628,28.2,0.137,961.3,66.9781420765027,1512.80519125683,2.11475409836066,120,210,19,91,0.208791208791209,59.1578947368421,77,62,122,0.341519469433318,1,318
"CADI_POP1",2001,"Autres sites",4.50514755991301,707.330400812613,24.5903361344538,106.668480026501,88,0,0,0,NA,17,92,0,27.9,11.7213698630137,0.24272602739726,49.4,0.255,966.4,67.3021917808219,1543.78931506849,2.15424657534247,80,229,21,150,0.14,61.6666666666667,82,61,81,0.027146937557476,4,325
"CADI_POP1",2002,"Autres sites",4.49069819256505,821.441206992082,14.1946941946942,107.903853926717,107,2,2,0,66.5,69,115,2,20,11.381095890411,0.254071232876712,56.2,0.185,882,70.6013698630137,1442.88082191781,2.01698630136986,77,217,26,141,0.184397163120567,60.6923076923077,79,60.5,185,0.275500374612009,5,321
"CADI_POP1",2003,"Autres sites",4.36851838295383,841.883043046714,28.3639971139971,111.062322464212,95,2,2,0,52.5,60,113,1,24.6,12.0939726027397,0.248597260273973,189.6,0.81,963.1,70.1394520547945,1494.70493150685,2.06712328767123,64,256,25,193,0.129533678756477,62.28,82,62,103,0.0341616113977419,6,310
"CADI_POP1",2004,"Autres sites",4.56540231271572,768.382450681726,19.5072751322751,119.221444487496,134,6,4,2,58,69,112,5,16.4,11.2666666666667,0.251833333333333,52.3,0.294,920.3,69.4896174863388,1468.38907103825,2.00409836065574,96,260,14,165,0.0848484848484849,54,68,54.5,96,0.109952027801211,5,319
"CADI_POP1",2005,"Autres sites",4.59698719011188,638.172167142117,17.9510073260073,111.271161885373,138,1,0,1,42,42,91,1,36.1,11.1282191780822,0.23947397260274,129.8,0.581,953.3,66.5920547945205,1473.60547945205,2.15068493150685,80,209,35,130,0.269230769230769,60.0857142857143,79,58,154,0.159962642402722,8,322
"CADI_POP1",2006,"Autres sites",5.26359524303542,588.376453772154,20.8465608465608,101.012298809509,87,0,0,0,NA,14,91,0,39.3,12.8084931506849,0.225232876712329,72.3,0.382,1018,66.2293150684932,1455.78602739726,2.3558904109589,145,202,4,58,0.0689655172413793,53.5,64,50.5,145,0.119584675975653,2,286
"CADI_POP1",2007,"Autres sites",5.08915986444821,598.354475236528,3.08278867102396,103.861108164739,80,0,0,0,NA,19,106,0,29.5,11.8443835616438,0.216569863013699,20.7,0.137,1013.8,66.5939726027397,1508.59178082192,2.36657534246575,57,260,10,204,0.0490196078431373,56.2,72,55.5,126,0.0224917138708141,5,315
"CADI_POP1",2008,"Autres sites",4.38446369698891,939.969094606103,14.4411375661376,117.040226902828,138,2,1,1,55,62,95,2,19.7,11.5546448087432,0.233786885245902,21,0.124,926,70.3360655737705,1435.0218579235,2.36092896174863,70,221,36,152,0.236842105263158,60,82,61,221,NA,4,326
"CADI_POP1",2009,"Autres sites",4.92659505167999,804.1467746522,31.1417748917749,110.438043286486,99,1,1,0,82,82,122,1,18,12.3416438356164,0.236756164383562,61.2,0.334,1009.3,68.4482191780822,1468.52575342466,2.45452054794521,70,198,29,129,0.224806201550388,61.3103448275862,79,61,171,0.420335132064756,2,322
"CADI_POP1",2010,"Autres sites",3.5539945276801,860.222977992324,26.5151515151515,127.713293560049,76,0,0,0,NA,32,95,0,21.3,10.7627397260274,0.2378,50.8,0.346,933.7,69.9093150684932,1436.32739726027,2.44876712328767,94,204,11,111,0.0990990990990991,67.0909090909091,83,70,200,1.42307692307679,4,300
"CADI_POP1",2011,"Autres sites",5.62739225762587,724.919094398195,5.59577677224736,97.7992381240566,82,0,0,0,NA,19,92,0,34.4,12.8295890410959,0.244287671232877,7,0.049,1014.3,68.4545205479452,1494.88082191781,2.25835616438356,205,210,4,6,0.666666666666667,64,78,68.5,205,7.07142857142859,0,323
"CADI_POP1",2012,"Autres sites",5.12556427465556,658.074567635143,2.86571067821067,103.339442104358,88,0,0,0,NA,11,92,0,9.8,12.4008196721311,0.240431693989071,33.1,0.199,1065.2,64.7215846994536,1486.47923497268,2.49617486338798,91,219,15,129,0.116279069767442,62.0666666666667,73,63,147,0.0502266387726636,4,327
"CADI_POP1",2013,"Autres sites",4.42791979296839,801.736587195213,20.9394078144078,114.519249767898,97,1,1,0,62,62,104,1,21.3,11.6641095890411,0.255621917808219,80.3,0.411,953.3,68.9739726027397,1402.56136986301,2.54246575342466,81,216,28,136,0.205882352941176,61.3928571428571,78,63.5,84,0.0434235355379903,5,323
"CADI_POP1",2014,"Autres sites",5.25968076053985,985.968565078902,16.0737179487179,98.3728407185231,94,1,1,0,68,68,99,1,39.3,12.0446575342466,0.255564383561644,46.1,0.146,934.9,69.5419178082192,1386.01726027397,2.41452054794521,144,207,6,64,0.09375,58.3333333333333,74,58,144,0.207159090909091,2,326
"CADI_POP1",2015,"Autres sites",5.52069709097546,812.150754020979,3.9983164983165,98.499698538352,85,0,0,0,NA,0,91,0,49.2,12.4786301369863,0.249550684931507,78.1,0.372,1023.7,65.5150684931507,1467.83835616438,2.15506849315068,160,222,9,63,0.142857142857143,58,74,56,220,NA,5,299
"CADI_POP1",2016,"Autres sites",3.64171975136767,803.528837254412,15.4861111111111,121.938723215267,100,2,2,0,60.5,74,109,2,29.5,11.9095628415301,0.243948087431694,19,0.116,950.4,68.9844262295082,1409.95300546448,2.15355191256831,86,240,24,155,0.154838709677419,60.625,84,61.5,170,0.141168729895701,6,320
"CADI_POP1",2017,"Autres sites",5.0542190930772,722.371050881526,15.0629578754579,108.755073755436,118,1,1,0,53,53,92,1,41.7,12.2501369863014,0.23507397260274,39,0.213,1002,65.8142465753425,1487.04273972603,2.1241095890411,106,230,35,125,0.28,63.2571428571429,82,66,209,0.128834355828224,7,307
